%
% ARFF data file, generated by KNIME
%
% Date: Tue Apr 14 11:57:48 CEST 2015
% User: carlosan
%

@RELATION DataTable
@ATTRIBUTE MONTH	{October,June,April,December,November,July,January,September,May,February,August,March}
@ATTRIBUTE HOUR	{21:00,17:00,2:00,4:00,11:00,13:00,15:00,22:00,23:00,7:00,0:00,18:00,6:00,1:00,16:00,12:00,5:00,20:00,3:00,19:00,14:00,8:00,10:00,9:00}
@ATTRIBUTE pressure	INTEGER
@ATTRIBUTE three_hour_pressure_change	INTEGER
@ATTRIBUTE wind_direction	INTEGER
@ATTRIBUTE wind_speed	REAL
@ATTRIBUTE visibility	INTEGER
@ATTRIBUTE cloud_cover	INTEGER
@ATTRIBUTE height_of_base_of_cloud	INTEGER
@ATTRIBUTE dewpoint	REAL
@ATTRIBUTE drybulb	REAL
@ATTRIBUTE char_pressure_tendency_string	{lower,higher,'same or lower',steady,'same or higher'}
@ATTRIBUTE present_weather_string	{'no meteors during the past hour',rain,'showery precipitation','solid precipitation not in showers',drizzle,'showers of rain',precipitation,'fog or ice fog preceding hour',mist,snow,fog,patches,'thunderstorm preceding hour',lightning,'freezing drizzle or rain','showers of snow','thunderstorm no precipitation','rain and snow','showers of hail','haze dust or smoke','funnel clouds'}
@ATTRIBUTE past_weather1_string	{'cloud covering the sky',rain,thunderstorm,snow,showers,drizzle,'fog or ice fog or thick haze'}
@ATTRIBUTE past_weather2_string	{'cloud covering the sky',rain,drizzle,snow,'fog or ice fog or thick haze',showers,thunderstorm,'sandstorm duststorm or blowing snow'}
@ATTRIBUTE cloud_type_string	{'stratus nebulosus','cumulus and stratocumulus not cumulogenitus','low clouds invisible due to darknes fog dust or sand','stratocumulus not cumulogenitus','cumulus humilis','stratus fractus','cumulus mediocris','no low clouds','cumulonimbus capillatus','stratocumulus cumulogenitus','cumulunimbus calvus'}
@ATTRIBUTE FOG+3	{NO,YES}

@DATA
July,4:00,100100,80,250,77.752,12000,5,450,10.15,11.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,18:00,99980,-20,60,77.752,30000,2,2250,15.05,29.75,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
April,16:00,101330,-120,210,9.719,18000,6,1250,11.05,18.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,2:00,100140,-170,230,58.314,20000,7,1750,11.15,15.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,10:00,99870,10,240,38.876,15000,7,800,14.55,20.95,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,10:00,98630,-50,280,19.438,18000,7,150,2.85,5.35,'same or lower','showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
July,4:00,99970,80,290,38.876,15000,7,1250,16.55,19.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,3:00,100510,90,170,19.438,12000,4,8000,13.95,17.45,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,13:00,101600,-70,20,77.752,18000,7,1250,0.95,10.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
November,2:00,101960,30,20,58.314,10000,7,150,7.75,8.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,0:00,101130,-70,140,77.752,30000,3,8000,5.15,10.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,5:00,100930,-40,160,38.876,40000,4,3500,11.35,14.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,13:00,99850,-40,300,155.504,30000,6,1250,9.05,18.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
April,4:00,100280,-30,0,0.0,15000,3,1750,3.35,6.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,16:00,99550,-110,230,136.066,10000,8,450,5.05,6.25,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
May,10:00,100520,0,80,116.628,25000,3,8000,7.15,23.45,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,3:00,98910,-90,200,58.314,6000,8,150,10.05,11.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,11:00,101510,90,330,19.438,10000,7,150,4.05,5.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
November,18:00,98640,30,320,9.719,10000,7,450,4.25,5.25,higher,'showery precipitation',thunderstorm,showers,'cumulonimbus capillatus',NO
July,13:00,100100,130,250,58.314,7000,7,250,16.55,18.75,higher,rain,showers,rain,'cumulunimbus calvus',NO
January,14:00,101560,-80,350,58.314,3000,7,450,0.35,1.65,lower,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
June,13:00,99390,-90,260,58.314,20000,7,1250,12.65,21.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,2:00,100630,-90,260,58.314,10000,7,3500,9.35,11.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,3:00,99900,20,190,38.876,6000,8,80,14.05,14.55,higher,drizzle,drizzle,'cloud covering the sky','stratus nebulosus',NO
December,1:00,98130,-310,140,136.066,20000,7,8000,-2.05,2.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,12:00,100650,-140,100,58.314,25000,1,1750,13.35,26.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
July,23:00,100580,60,50,77.752,15000,5,3500,13.25,18.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,2:00,102180,-100,120,77.752,20000,0,?,1.65,3.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
July,1:00,99190,210,40,58.314,15000,5,3500,13.05,23.45,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,16:00,99220,60,190,155.504,9000,7,150,15.95,19.05,higher,'thunderstorm no precipitation',thunderstorm,showers,'cumulonimbus capillatus',NO
February,22:00,102040,10,30,77.752,10000,0,?,-8.75,-5.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
September,9:00,100650,10,110,58.314,25000,0,?,13.75,22.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
March,5:00,99390,-320,150,77.752,20000,7,8000,0.75,5.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,1:00,100160,-210,150,58.314,5000,7,1750,12.15,13.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,14:00,101230,-170,110,9.719,12000,3,450,-0.35,3.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
October,11:00,99750,40,50,174.942,30000,1,8000,2.25,17.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,19:00,99920,50,220,77.752,30000,8,800,14.65,20.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulunimbus calvus',NO
October,21:00,100720,50,20,38.876,12000,0,?,10.15,11.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
September,23:00,100760,30,290,19.438,20000,5,8000,10.45,13.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,9:00,100210,210,10,77.752,7000,8,150,12.05,12.95,higher,drizzle,drizzle,'cloud covering the sky','stratus fractus',NO
September,10:00,101370,60,240,77.752,30000,4,800,10.85,17.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
October,20:00,101430,40,20,9.719,15000,0,?,6.45,9.55,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
April,22:00,100460,-30,60,19.438,10000,0,?,1.85,9.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
March,19:00,99680,-50,220,9.719,20000,8,150,10.15,11.95,lower,'showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
October,14:00,101080,-110,60,58.314,25000,5,800,10.65,16.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,2:00,101540,20,200,38.876,2500,8,80,9.55,10.05,higher,mist,'cloud covering the sky','cloud covering the sky','stratus fractus',NO
June,7:00,100980,-50,60,58.314,15000,7,3500,11.35,14.05,lower,rain,rain,rain,'no low clouds',NO
January,19:00,99390,190,230,9.719,10000,7,250,1.85,2.85,higher,'showery precipitation',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
August,18:00,100230,-150,50,9.719,30000,3,8000,6.95,21.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,17:00,100170,-90,60,9.719,15000,6,1250,12.55,19.25,lower,lightning,'cloud covering the sky','cloud covering the sky','cumulonimbus capillatus',NO
October,11:00,101040,-80,230,58.314,10000,7,450,9.45,14.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,14:00,101060,40,20,174.942,20000,2,800,-1.75,4.95,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
July,6:00,99720,40,270,38.876,16000,6,450,16.25,18.45,higher,'no meteors during the past hour',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
September,6:00,101040,60,0,0.0,15000,8,800,15.05,17.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,14:00,101320,30,190,77.752,13000,7,800,4.05,10.85,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,0:00,99910,160,330,9.719,9000,8,250,9.65,11.05,higher,'no meteors during the past hour',rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
June,5:00,100100,100,280,9.719,18000,7,3500,17.95,21.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
November,12:00,100120,-40,160,58.314,7000,7,250,9.05,10.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,10:00,99510,170,250,116.628,15000,7,450,8.25,9.15,higher,'showery precipitation',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
December,18:00,99920,-60,200,136.066,15000,7,1250,-0.75,1.65,lower,'no meteors during the past hour',snow,rain,'stratocumulus not cumulogenitus',NO
June,23:00,100570,10,170,38.876,25000,7,1750,13.55,18.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,15:00,99040,-230,140,77.752,10000,7,1750,13.85,17.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,20:00,100270,40,260,77.752,15000,6,1250,13.65,16.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,19:00,99060,110,300,9.719,25000,7,800,6.05,11.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
February,7:00,99050,-60,180,136.066,20000,7,250,3.25,4.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
April,1:00,100050,10,340,38.876,18000,8,1250,8.85,12.55,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,14:00,97480,-1080,260,330.446,12000,8,450,7.45,10.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,5:00,99790,20,150,58.314,15000,6,3500,11.85,18.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,22:00,99620,-60,210,136.066,9000,8,450,10.25,11.65,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
April,9:00,99630,70,20,9.719,10000,6,1750,4.75,9.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,19:00,100570,-70,110,77.752,30000,6,1250,13.45,23.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus cumulogenitus',NO
May,14:00,99550,-280,200,136.066,25000,7,1250,10.45,19.15,lower,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,20:00,100510,60,360,58.314,25000,6,8000,9.85,19.65,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,5:00,100680,-70,140,58.314,3000,8,450,5.65,6.55,lower,drizzle,drizzle,drizzle,'stratus nebulosus',NO
January,14:00,100830,-120,60,77.752,8000,7,800,5.95,7.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,7:00,99190,10,100,58.314,10000,7,800,11.95,12.75,'same or higher',rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
March,23:00,100800,160,350,58.314,7000,8,450,2.75,5.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,16:00,100620,-230,230,58.314,30000,1,2250,5.85,25.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
July,23:00,100630,80,290,38.876,20000,5,800,15.95,17.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,5:00,100000,-50,220,58.314,40000,7,1250,11.85,14.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,12:00,99660,0,40,38.876,6000,8,450,10.65,12.25,steady,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
August,22:00,100710,30,270,58.314,20000,2,8000,11.55,15.55,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,7:00,100840,-30,30,116.628,7000,8,150,-0.65,1.15,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
September,20:00,99970,170,270,9.719,15000,7,1750,15.25,24.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
February,4:00,101750,-110,100,38.876,12000,7,1250,0.65,2.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,12:00,98990,110,240,77.752,22000,7,450,4.95,7.85,higher,'no meteors during the past hour',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
March,11:00,98940,0,220,58.314,20000,4,800,3.95,9.55,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
January,8:00,101420,10,140,9.719,1500,8,80,-0.95,-0.15,higher,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
June,3:00,98970,-10,250,38.876,25000,5,1250,8.15,11.15,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,4:00,99180,120,220,58.314,20000,8,250,2.85,3.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,19:00,100810,180,300,19.438,9000,7,800,14.55,18.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,6:00,101390,50,240,77.752,8000,7,250,11.35,11.95,higher,'no meteors during the past hour',drizzle,'cloud covering the sky','stratus nebulosus',NO
August,9:00,101010,150,260,9.719,30000,7,800,10.45,17.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
May,18:00,101520,-50,300,38.876,25000,7,800,11.35,16.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,5:00,101500,80,10,58.314,8000,8,150,13.55,14.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
February,23:00,101090,100,10,38.876,20000,4,8000,-3.35,-0.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,1:00,100560,210,30,9.719,25000,0,?,-2.15,-0.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
June,21:00,100640,30,100,9.719,25000,4,8000,7.35,19.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,13:00,100570,-300,230,213.818,25000,8,800,4.75,10.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
